@relation sdss-restas.dat-SOM_PACK-weka.filters.unsupervised.attribute.Standardize-unset-class-temporarily

@attribute resta1 numeric
@attribute resta2 numeric
@attribute resta3 numeric
@attribute resta4 numeric
@attribute class {QSO,WDA,WDB}

@data
0.182966,-1.296301,-2.267185,-1.006181,QSO
0.36196,0.03968,-2.661585,-0.470504,QSO
0.255531,-2.394222,-1.823485,-0.338781,QSO
-7.414613,-1.349598,-0.79914,-1.019353,QSO
0.611101,-1.626744,-2.009729,0.05639,QSO
0.209573,-1.019156,-1.19354,-1.857994,QSO
-4.349942,-8.800536,-5.630541,-3.675781,QSO
0.422431,-1.036922,-0.486907,-0.751515,QSO
0.112819,-0.592779,-1.971385,-0.922756,QSO
0.274882,-1.378024,-1.204496,-0.637354,QSO
-0.395137,-0.535929,-1.807051,-0.312436,QSO
-4.550705,-1.964292,-1.39074,-1.041307,QSO
0.504672,-0.699374,-2.091896,-0.747124,QSO
0.378892,-1.321173,-0.388307,-0.356344,QSO
0.378892,-1.56634,-0.459518,-0.16754,QSO
0.703017,-1.463299,-1.177107,-2.933738,QSO
-0.803921,-2.578985,-2.464385,-1.963373,QSO
-0.830528,-0.503951,-0.596462,-2.239993,QSO
-0.354017,-1.935867,-1.308573,-0.439769,QSO
0.494996,-0.592779,-2.108329,-1.155468,QSO
-0.378205,0.334591,-2.606807,0.078344,QSO
0.25795,-0.82018,-1.954951,-1.177422,QSO
0.129751,-1.829273,-1.056596,-0.720779,QSO
0.265206,-1.143516,-0.99634,-0.2817,QSO
0.093469,-2.411988,-1.63724,-0.619791,QSO
-0.005704,-0.635417,-0.410218,-1.194985,QSO
0.584493,-0.813074,-2.436996,-0.404643,QSO
0.746556,-1.047581,-1.63724,0.763308,QSO
0.50709,-0.720692,-2.201451,-1.124732,QSO
0.110401,-0.372485,-1.878262,-0.979836,QSO
-0.017798,-1.49883,-0.815573,-0.839331,QSO
-3.808121,-7.286898,-9.454031,-1.010572,QSO
0.059605,-0.745564,-1.905651,-0.94471,QSO
0.845728,-0.379591,-3.034074,0.22324,QSO
-0.078269,-1.218132,-1.259273,-0.55832,QSO
0.32084,-0.877031,-1.757751,-1.537466,QSO
-0.963565,-1.875463,-3.247707,-1.137905,QSO
-0.320153,-1.072453,-1.270229,-1.568202,QSO
0.657059,-0.546589,-2.420563,-1.33549,QSO
0.441782,-1.473958,-1.429085,-0.373907,QSO
-0.438676,-1.072453,-1.582462,-0.77786,QSO
-0.293546,-0.585673,-1.53864,-1.194985,QSO
0.46597,-1.520149,-0.881307,0.030046,QSO
0.574818,-1.207473,-0.936084,-0.347562,QSO
-0.150834,-1.200367,-0.99634,-1.216939,QSO
-0.191955,-0.674502,-1.615329,-1.875557,QSO
-2.937339,-1.594765,-2.069985,-1.660409,QSO
0.221667,-0.575014,-0.114418,-0.966664,QSO
1.027141,-0.962306,-1.023729,0.091517,QSO
-1.14014,-2.36935,-1.872785,-1.590156,QSO
0.400661,-1.413555,-1.160673,-0.299264,QSO
0.574818,-1.093772,-0.10894,-0.062161,QSO
-0.455608,-0.969412,-1.801574,-0.742733,QSO
-0.627346,-0.862818,-2.135718,-0.755906,QSO
-0.678142,-0.798862,-1.237362,-1.11156,QSO
-0.087944,-0.738458,-0.048684,-0.6154,QSO
0.095888,-0.752671,-1.911129,-1.313536,QSO
0.137008,-1.985611,-0.727929,-0.05777,QSO
-0.143578,-0.521717,-1.023729,-2.297073,QSO
0.134589,-1.228792,-2.13024,-0.839331,QSO
-0.051662,-1.132857,-0.974429,-0.571493,QSO
-0.085526,-0.77399,-1.938518,-0.694435,QSO
0.289395,-1.26077,-2.135718,-1.256456,QSO
0.06928,-0.738458,-1.423607,-2.011672,QSO
-0.644278,-0.805968,-0.021295,-1.39257,QSO
-0.073431,0.110743,-1.368829,0.030046,QSO
-0.818434,-1.395789,-0.903218,-1.370616,QSO
1.065843,-0.368931,-2.464385,-1.361835,QSO
-2.347142,-2.667814,-2.62324,-1.853603,QSO
0.490159,-0.834393,-0.662196,-0.646136,QSO
-8.060443,-6.874734,-3.368218,-1.396961,QSO
0.325677,-0.606992,-2.064507,-0.997399,QSO
-0.049243,-0.621204,-0.755318,-1.396961,QSO
-5.823016,-9.010172,-7.005464,-2.22682,QSO
0.34019,-0.923222,-1.204496,-1.50234,QSO
-1.7255,-1.051135,-2.541074,-1.901902,QSO
-0.194373,-0.930328,-1.779662,-1.50234,QSO
-0.484634,-1.058241,-1.850874,-0.369516,QSO
-0.170185,-1.349598,-0.853918,-1.61211,QSO
-0.820853,-0.20904,-1.626285,-1.151077,QSO
0.207154,-0.535929,-2.075463,-0.971055,QSO
-0.733775,-1.31762,-2.82044,-1.089606,QSO
0.470808,-0.89835,-2.048074,-1.238893,QSO
0.328096,-0.70648,-1.571507,-4.035826,QSO
-2.70513,-3.733756,-2.009729,-3.350863,QSO
-0.184698,-0.383144,-1.034684,-1.405743,QSO
-0.073431,-1.051135,-1.872785,-0.865676,QSO
0.224086,-1.207473,-1.763229,-1.041307,QSO
0.613519,-1.640956,-0.558118,-0.185103,QSO
0.270044,-0.905456,-1.582462,-0.66809,QSO
-0.039568,-0.798862,-1.051118,-1.177422,QSO
0.13217,-0.454207,-2.059029,-1.107169,QSO
0.732043,-1.310514,-0.388307,-2.512222,QSO
0.083793,-1.360258,-1.357873,-1.361835,QSO
0.13217,-1.658722,-2.42604,-1.33549,QSO
0.671572,-0.567907,-2.075463,-0.865676,QSO
-0.349179,-1.470405,-0.695062,-0.215839,QSO
-0.45077,-1.189707,-2.875218,-1.686753,QSO
-1.007104,-0.699374,-1.900174,-2.064361,QSO
0.371635,-1.520149,-0.99634,-0.676872,QSO
0.262788,-1.353152,-0.990862,-0.773469,QSO
-0.412069,-1.228792,-0.79914,-2.130223,QSO
0.168453,-0.503951,-2.32744,-1.27841,QSO
0.272463,-1.832826,-1.44004,-0.966664,QSO
-0.228237,0.174699,-1.357873,-0.913974,QSO
-8.166872,-1.50949,-1.19354,-0.940319,QSO
-0.612833,-1.843485,-1.023729,-1.063261,QSO
0.023322,-1.07956,-2.17954,-1.115951,QSO
0.262788,-1.964292,-0.519773,-1.879948,QSO
0.081374,-1.520149,-2.798529,-1.155468,QSO
0.001553,-0.717139,-2.502729,-0.808595,QSO
0.042673,-1.726231,-3.384652,-1.844822,QSO
0.46597,-1.712019,-0.886784,-0.927147,QSO
0.620776,-1.502384,-1.319529,-0.44416,QSO
-0.34676,-1.829273,-0.908696,-0.711998,QSO
0.100725,-0.948094,-1.987818,-0.176321,QSO
-4.393481,-2.021142,-2.152151,-1.941419,QSO
0.231343,-1.097325,-0.908696,-0.483677,QSO
-0.685398,-0.656736,-0.744362,-1.432087,QSO
0.533698,-0.795308,-1.911129,-0.584665,QSO
0.42485,-0.855712,-0.673151,-1.515512,QSO
0.265206,-1.001391,-2.141196,-0.00069,QSO
0.332934,-1.484618,-0.979907,-1.014962,QSO
0.17329,-1.090219,0.022527,-0.268528,QSO
0.345028,-1.427768,-0.574551,-1.093997,QSO
-5.237656,-1.93942,-2.294574,-1.713098,QSO
-0.506404,-0.443547,-2.409607,-0.088506,QSO
0.519185,-0.656736,-2.32744,-0.931537,QSO
0.456295,-1.076007,-0.328051,-1.085215,QSO
0.245856,-1.6907,-1.111373,-0.44855,QSO
0.134589,-1.545021,-1.160673,-0.83494,QSO
-3.10182,-7.716828,-1.954951,-1.818477,QSO
0.707854,-0.137977,-2.946429,-0.791032,QSO
-0.465284,-0.756224,0.170427,-2.22682,QSO
-0.66121,-1.115091,-1.998774,-2.393671,QSO
0.623195,-1.420661,-0.804618,-0.44855,QSO
-0.184698,0.132062,-3.110763,-1.313536,QSO
-0.28387,-0.969412,-2.667063,-1.014962,QSO
0.623195,-0.926775,-2.67254,-1.199376,QSO
-0.228237,-1.783082,-1.774185,-2.499049,QSO
-0.071013,-0.365378,-0.695062,-1.256456,QSO
0.226505,-0.919668,-2.497252,-0.89202,QSO
0.040254,-0.805968,-2.119285,-1.014962,QSO
0.732043,-1.722678,-0.684107,-0.703216,QSO
