@relation sdss-restas.dat-SOM_PACK-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute resta1 numeric
@attribute resta2 numeric
@attribute resta3 numeric
@attribute resta4 numeric
@attribute class {QSO,WDA,WDB}

@data
0.8756,0.739864,0.687231,0.397685,QSO
0.851975,0.749595,0.73362,0.349731,QSO
0.865079,0.781057,0.645624,0.356346,QSO
0.910853,0.702887,0.791487,0.22406,QSO
0.861388,0.698346,0.706839,0.332369,QSO
0.865079,0.6711,0.613582,0.334849,QSO
0.906238,0.770678,0.644189,0.379082,QSO
0.82835,0.688291,0.764706,0.440265,QSO
0.820598,0.713915,0.574366,0.301778,QSO
0.778147,0.758677,0.659493,0.266226,QSO
0.883352,0.68375,0.738403,0.396858,QSO
0.875046,0.698994,0.738881,0.387764,QSO
0.823551,0.710347,0.755619,0.260025,QSO
0.867848,0.776516,0.62219,0.340223,QSO
0.875784,0.655206,0.699665,0.369574,QSO
0.837578,0.838469,0.706839,0.374535,QSO
0.23182,0.684723,0.721186,0.372055,QSO
0.808232,0.654233,0.736011,0.36048,QSO
0.856774,0.72397,0.635103,0.355519,QSO
0.875046,0.643205,0.78001,0.283588,QSO
0.861203,0.68375,0.581062,0.351798,QSO
0.855113,0.757055,0.606887,0.384456,QSO
0.85825,0.664937,0.52989,0.286895,QSO
0.89055,0.666234,0.747967,0.373295,QSO
0.902362,0.685371,0.710187,0.418768,QSO
0.828535,0.65553,0.746055,0.393551,QSO
0.86268,0.735971,0.651841,0.443985,QSO
0.519749,0.638015,0.637494,0.277801,QSO
0.872647,0.722348,0.746055,0.415048,QSO
0.802695,0.762569,0.760402,0.325754,QSO
0.895718,0.749919,0.658537,0.405539,QSO
0.887412,0.744405,0.766619,0.3179,QSO
0.875231,0.731106,0.638451,0.460521,QSO
0.880399,0.686993,0.739837,0.365027,QSO
0.868217,0.722997,0.827355,0.435304,QSO
0.881322,0.692183,0.775227,0.357586,QSO
0.455334,0.645475,0.62506,0.299297,QSO
0.816353,0.78203,0.615017,0.452253,QSO
0.894611,0.762569,0.62219,0.372881,QSO
0.889812,0.724295,0.796748,0.358413,QSO
0.873754,0.66818,0.72836,0.418355,QSO
0.865264,0.681479,0.724055,0.381976,QSO
0.618309,0.118067,0.654711,0.289376,QSO
0.909007,0.809925,0.568149,0.38611,QSO
0.819491,0.753487,0.840268,0.25093,QSO
0.80454,0.720727,0.650885,0.235221,QSO
0.902547,0.692832,0.755141,0.418355,QSO
0.840901,0.834577,0.553802,0.336916,QSO
0.833333,0.734025,0.592539,0.365027,QSO
0.902547,0.737918,0.592061,0.347664,QSO
0.837578,0.659747,0.670493,0.2253,QSO
0.849575,0.789166,0.764706,0.34229,QSO
0.872278,0.738566,0.607365,0.376602,QSO
0.858066,0.748946,0.640363,0.365027,QSO
0.910853,0.665261,0.765662,0.394378,QSO
0.891657,0.777165,0.702535,0.322447,QSO
0.832226,0.690237,0.789574,0.328235,QSO
0.893503,0.769705,0.677666,0.353038,QSO
0.878368,0.76192,0.756098,0.381563,QSO
0.876892,0.713915,0.789574,0.393964,QSO
0.714655,0.569575,0.509804,0.221993,QSO
0.854743,0.760298,0.78814,0.165771,QSO
0.880214,0.717807,0.711621,0.437784,QSO
0.900886,0.677262,0.769967,0.434477,QSO
0.84127,0.693156,0.747967,0.332782,QSO
0.865449,0.694778,0.766141,0.381976,QSO
0.862311,0.734674,0.702535,0.307565,QSO
0.324105,0.649367,0.716882,0.34353,QSO
0.83684,0.738242,0.643711,0.345597,QSO
0.887228,0.743432,0.767575,0.329475,QSO
0.830934,0.733701,0.73649,0.32038,QSO
0.887412,0.76711,0.712578,0.367094,QSO
0,0.588388,0.7011,0.341877,QSO
0.823736,0.738566,0.71736,0.293923,QSO
0.861757,0.712293,0.610234,0.355932,QSO
0.868771,0.661044,0.618843,0.262919,QSO
0.423588,0.241648,0.52176,0.25217,QSO
0.8756,0.686344,0.764706,0.395618,QSO
0.868586,0.580928,0.783835,0.415874,QSO
0.831118,0.684723,0.617886,0.361306,QSO
0.874308,0.751216,0.685796,0.315833,QSO
0.835179,0.721051,0.808704,0.34105,QSO
0.872831,0.674992,0.7011,0.42869,QSO
0.844777,0.78495,0.680536,0.412154,QSO
0.863603,0.740512,0.608321,0.393138,QSO
0.866556,0.757379,0.765662,0.357586,QSO
0.880399,0.68602,0.722143,0.22902,QSO
0.861019,0.659098,0.696318,0.20339,QSO
0.796419,0.714564,0.761358,0.310459,QSO
0.857512,0.714564,0.647537,0.350145,QSO
0.898487,0.706779,0.750837,0.377015,QSO
0.896641,0.844307,0.966523,0.491525,WDA
0.81543,0.737269,0.751315,0.396445,WDA
0.832041,0.802141,0.794357,0.479124,WDA
0.844961,0.802141,0.794357,0.528731,WDA
0.905869,0.863769,0.928264,0.466722,WDA
0.856035,0.850795,0.837398,0.301364,WDA
0.826504,0.759974,0.765662,0.441918,WDA
0.835733,0.844307,0.875658,0.408847,WDA
0.848653,0.847551,0.86131,0.458454,WDA
0.811739,0.75673,0.74175,0.479124,WDA
0.837578,0.831333,0.86131,0.483258,WDA
0.970469,0.905936,0.870875,0.57007,WDA
0.900332,0.870256,0.875658,0.462588,WDA
0.822813,0.821602,0.870875,0.404713,WDA
0.824659,0.753487,0.765662,0.495659,WDA
0.839424,0.834577,0.842181,0.322034,WDA
0.798819,0.714564,0.703491,0.429516,WDA
0.957549,0.905936,0.89957,0.47499,WDA
0.85419,0.883231,0.885222,0.549401,WDA
0.924326,0.925397,0.956958,0.541133,WDA
0.832041,0.847551,0.837398,0.487391,WDA
0.839424,0.870256,0.870875,0.520463,WDA
